date_key,year,quarter,month,month_name,week_of_year,day_of_month,day_name,year_quarter,year_month
2014-12-27 00:00:00,2014,4,12,December,52,27,Saturday,2014-Q4,2014-12
2014-12-28 00:00:00,2014,4,12,December,52,28,Sunday,2014-Q4,2014-12
2014-12-29 00:00:00,2014,4,12,December,1,29,Monday,2014-Q4,2014-12
2014-12-30 00:00:00,2014,4,12,December,1,30,Tuesday,2014-Q4,2014-12
2014-12-31 00:00:00,2014,4,12,December,1,31,Wednesday,2014-Q4,2014-12
2015-01-02 00:00:00,2015,1,1,January,1,2,Friday,2015-Q1,2015-01
2015-01-03 00:00:00,2015,1,1,January,1,3,Saturday,2015-Q1,2015-01
2015-01-04 00:00:00,2015,1,1,January,1,4,Sunday,2015-Q1,2015-01
2015-01-05 00:00:00,2015,1,1,January,2,5,Monday,2015-Q1,2015-01
2015-01-06 00:00:00,2015,1,1,January,2,6,Tuesday,2015-Q1,2015-01
2015-01-09 00:00:00,2015,1,1,January,2,9,Friday,2015-Q1,2015-01
2015-01-10 00:00:00,2015,1,1,January,2,10,Saturday,2015-Q1,2015-01
2015-01-12 00:00:00,2015,1,1,January,3,12,Monday,2015-Q1,2015-01
2015-01-13 00:00:00,2015,1,1,January,3,13,Tuesday,2015-Q1,2015-01
2015-01-17 00:00:00,2015,1,1,January,3,17,Saturday,2015-Q1,2015-01
2015-01-19 00:00:00,2015,1,1,January,4,19,Monday,2015-Q1,2015-01
2015-01-23 00:00:00,2015,1,1,January,4,23,Friday,2015-Q1,2015-01
2015-01-24 00:00:00,2015,1,1,January,4,24,Saturday,2015-Q1,2015-01
2015-01-26 00:00:00,2015,1,1,January,5,26,Monday,2015-Q1,2015-01
